model_id,task_id,score,reported_by,url,notes
isaac0.1,vqav2,82.2,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,textvqa,79.3,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,chartqa,76.8,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,blink,42.6,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,mmmu,39.7,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,rwqa,75.0,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,
isaac0.1,mme,2150,Perceptron,https://github.com/perceptron-ai-inc/perceptron/blob/main/papers/isaac_01.pdf,"Reports 76.8; as a percentage of 2800, it's 2150.4."
isaac0.2-1b,vqav2,80.00,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,docvqa,91.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,rwqa,75.70,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,textvqa,76.60,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,ocrbench,870,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,mme,1780,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,blink,51.20,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-1b,seedbench,74.20,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,vqav2,80.80,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,docvqa,92.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,rwqa,77.90,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,textvqa,78.10,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,ocrbench,859,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,mme,2092,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,blink,55.00,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
isaac0.2-2b,seedbench,75.20,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,vqav2,67.71,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,docvqa,77.18,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,rwqa,65.23,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,textvqa,65.45,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,ocrbench,742,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,mme,1753,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,blink,44.40,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
lfm2-vl-1.6b,seedbench,71.97,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,vqav2,65.54,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
smolvlm2-2.2b,docvqa,79.98,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2,
