model_id,name,params_m,modalities,org,link
isaac0.1,Isaac 0.1,2567,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-1
isaac0.2-1b,Isaac 0.2-1B,1268,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2
isaac0.2-2b,Isaac 0.2-2B,2567,text+image,Perceptron,https://www.perceptron.inc/blog/introducing-isaac-0-2
lfm2.5-vl-1.6b,LiquidFM2.5-VL-1.6B,1597,text+image,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai
liquid-lfm2.5-vl-450m,LiquidFM2.5-VL-450M,451,text+image,Liquid AI,https://www.liquid.ai/blog/lfm2-5-vl-450m
lfm2-vl-1.6b,LiquidFM2-VL-1.6B,1585,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
lfm2-vl-450m,LiquidFM2-VL-450M,451,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
lfm2-vl-3b,LiquidFM2-VL-3B,2999,text+image,Liquid AI,http://arxiv.org/abs/2511.23404
qwen3-vl-2b,Qwen3-VL-2B,2128,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-2b-thinking,Qwen3-VL-2B (Thinking),2128,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-4b,Qwen3-VL-4B,4438,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-4b-thinking,Qwen3-VL-4B (Thinking),4438,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-8b,Qwen3-VL-8B,8767,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3-vl-8b-thinking,Qwen3-VL-8B (Thinking),8767,text+image,Qwen,https://arxiv.org/pdf/2511.21631
qwen3.5-397b-a17b,Qwen3.5-397B-A17B,403398,text+image,Qwen,https://qwen.ai/blog?id=qwen3.5
qwen3.5-122b-a10b,Qwen3.5-122B-A10B,125086,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B
qwen3.5-35b-a3b,Qwen3.5-35B-A3B,35952,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B
qwen3.5-27b,Qwen3.5-27B,27781,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B
qwen3.5-2b,Qwen3.5-2B,2274,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B
qwen3.5-2b-thinking,Qwen3.5-2B (Thinking),2274,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B
qwen3.5-4b,Qwen3.5-4B,4660,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-4B
qwen3.5-0.8b,Qwen3.5-0.8B,873,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-0.8B
qwen3.5-0.8b-thinking,Qwen3.5-0.8B (Thinking),873,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-0.8B
qwen3.5-9b,Qwen3.5-9B,9653,text+image,Qwen,https://huggingface.co/Qwen/Qwen3.5-9B
molmo2-4b,Molmo2-4B,4851,text+image,Allen Institute for AI,http://arxiv.org/abs/2601.10611
molmo2-8b,Molmo2-8B,8662,text+image,Allen Institute for AI,http://arxiv.org/abs/2601.10611
moondream3-preview,Moondream3 (Preview),9269,text+image,Moondream,https://huggingface.co/moondream/moondream3-preview
gemma3-4b,Gemma3 4B,4300,text+image,Google,https://huggingface.co/google/gemma-3-4b-it
gemma3-12b,Gemma3 12B,12187,text+image,Google,https://huggingface.co/google/gemma-3-12b-it
gemma3-27b,Gemma3 27B,27432,text+image,Google,https://huggingface.co/google/gemma-3-27b-it
step3-vl-10b,Step3-VL 10B,10172,text+image,StepFun,https://arxiv.org/pdf/2601.09668
internvl3.5-1b,InternVL3.5 1B,1061,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-2b,InternVL3.5 2B,2348,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-4b,InternVL3.5 4B,4732,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-8b,InternVL3.5 8B,8728,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-14b,InternVL3.5 14B,15120,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-38b,InternVL3.5 38B,38390,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-20b-a4b,InternVL3.5 20B-A4B,21233,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-30b-a3b,InternVL3.5 30B-A3B,30849,text+image,InternVL,https://arxiv.org/pdf/2508.18265
internvl3.5-241b-a28b,InternVL3.5 241B-A28B,240699,text+image,InternVL,https://arxiv.org/pdf/2508.18265
smolvlm2-2.2b,SmolVLM2 2.2B,2247,text+image,HuggingFace,https://huggingface.co/HuggingFaceTB/SmolVLM2-2.2B-Instruct
smolvlm2-500m,SmolVLM2 500M,507,text+image+video,HuggingFace,https://huggingface.co/HuggingFaceTB/SmolVLM2-500M-Video-Instruct
penguin-vl-2b,Penguin-VL-2B,2168,text+image,Tencent AI,https://huggingface.co/tencent/Penguin-VL-2B
penguin-vl-8b,Penguin-VL-8B,8653,text+image,Tencent AI,https://huggingface.co/tencent/Penguin-VL-8B
gpt-5-nano,GPT-5 Nano,,text+image,OpenAI,
gpt-5.4-mini,GPT-5.4 Mini,,text+image,OpenAI,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/
gpt-5.4-nano,GPT-5.4 Nano,,text+image,OpenAI,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/
llava-ov-1.5-4b,LLaVA OneVision-1.5-4B,4742,text+image,LLaVA,https://huggingface.co/lmms-lab/LLaVA-OneVision-1.5-4B-Instruct
llava-ov-1.5-8b,LLaVA OneVision-1.5-8B,8527,text+image,LLaVA,https://huggingface.co/lmms-lab/LLaVA-OneVision-1.5-8B-Instruct
phi-4-reasoning-vision-15b,Phi-4 Reasoning Vision 15B,15120,text+image,Microsoft,https://arxiv.org/pdf/2603.03975
nemotron-nano-v2-vl-12b-reasoning,Nemotron Nano V2 VL Reasoning,13182,text+image,NVIDIA,https://arxiv.org/abs/2511.03929
